src,in_src,out_src,dst,in_dst,out_dst,bound,runtime,profit
23739,45,78,2141295,37,85,1,5,1.7
31983606,126,77,589278,80,174,3,364,2.51
16574327,2,138,36804508,9,84,3,43,0.26
33396887,330,115,61728560,0,191,3,9,0.82
17495953,161,245,2249151,584,150,2,11,0.26
1235923,23,110,35168830,1,147,1,4,1.83
5862394,92,88,5999540,86,100,3,426,1.95
3843566,1193,188,5798464,67,525,4,1171,1.83
2650833,23,107,1826057,291,256,2,11,1.53
1144991,73,84,10291466,145,144,1,5,0.31
14419505,36,212,4088466,29,79,3,167,0.4
13000958,13,198,1981920,83,86,4,1370,0.15
31032,123,98,50174610,120,178,4,908,0.28
19861967,28,91,821876,315,299,1,4,0.25
109057,93,86,65379,92,139,4,783,1.27
305487,900,584,305109,114,175,3,481,0.04
313825,18,111,33734384,37,146,3,161,0.96
266991,102,136,36722337,4,79,2,9,0.3
81887,197,199,4551091,52,118,1,5,1.88
47912489,84,147,1824234,198,310,3,709,0.04
1190336,628,127,3318027,150,94,2,9,1.91
428269,61,91,6043420,24,96,3,102,1.11
26282809,16,145,25093108,9,104,3,51,0.9
58687892,85,125,296783,79,137,3,360,0.46
34571351,109,82,8318024,55,117,4,607,0.79
1566501,243,87,26902061,72,310,1,5,2.06
23291,2774,192,4251353,30,134,3,142,0.69
31891660,110,106,170975,388,330,1,5,1.64
20093038,7,144,126798,202,141,4,1498,0.68
311303,158,157,1685057,208,98,2,9,1.43
256387,372,154,34160003,4,138,2,8,1.01
9593869,101,541,50781,70,112,1,7,0.97
8857189,85,139,554001,7,95,1,5,0.08
37505351,3,78,63685301,0,151,3,9,1.41
60585,4680,308,3248912,50,78,3,207,0.9
25574608,8,78,1112132,8,562,2,8,1.47
42723426,119,86,15061407,105,139,2,9,0.31
2509172,15,86,13929379,77,108,3,370,1.69
37535501,28,88,55725679,10,83,2,9,0.83
114932,4224,521,2146399,734,295,3,2499,0.31
1795345,219,87,7537072,2,905,4,96,1.15
32590491,20,209,1162392,87,95,2,10,1.06
1588834,71,139,4157560,53,121,2,9,0.97
12719703,63,256,563218,441,100,3,1040,0.83
26842577,67,117,2026171,86,80,2,9,1.22
63438515,0,101,12991542,153,466,4,953,1.68
19614230,77,181,5806460,50,78,4,913,0.68
521616,908,167,1428399,72,116,2,9,0.62
3854200,181,84,77605,65,77,2,9,1.02
4927199,38,110,11039747,1,98,1,4,1.9
20900708,37,88,18108017,5,105,2,9,0.83
2291906,87,127,3691258,64,141,4,849,0.34
2398565,136,83,929821,405,231,2,10,1.8
22562282,21,221,9289433,194,189,1,5,2.42
1042502,37,184,39466181,10,90,2,9,1.97
11476251,180,86,432039,18,298,2,8,1.12
40291952,18,104,22682848,86,115,2,9,1.27
401060,49,170,11611019,22,77,4,776,2.58
913808,75,97,51163678,27,84,3,106,1.16
58208079,276,860,18952443,167,110,4,4483,0.62
25378435,89,99,62314510,3,103,1,5,1.08
4224720,13,84,355085,563,244,2,13,1.76
365927,383,217,13065152,56,84,2,11,0.04
84400,118,380,2362110,3,80,3,24,2.36
1435443,16,99,67004374,45,166,1,5,0.11
430320,43,83,42389944,48,90,4,625,0.3
10324819,71,154,1185548,224,97,2,10,1.84
157337,116,78,32802349,18,212,2,9,0.32
636625,546,244,57399398,1,140,3,14,2.76
1921690,106,222,2857794,77,118,3,423,1.96
34247772,10,126,598924,4,119,2,10,0.57
62662445,1,85,38667888,826,203,4,1555,1.02
682925,191,108,18163766,40,101,2,8,3.18
564669,84,85,16053851,40,79,4,634,0.06
43082128,2,308,746559,41,87,1,6,0.41
1646963,83,80,55698062,44,125,3,206,0.75
8016939,5,91,18306461,39,78,4,590,2.08
25648077,0,93,473186,127,122,3,446,1.73
28272,1704,298,59211629,1,486,2,10,1.65
14458903,26,212,51149660,79,94,3,381,0.5
6297944,51,117,4647690,173,125,4,1394,0.69
19470288,31,79,18934121,105,110,4,787,0.64
5338692,4,353,2860430,146,192,4,2485,0.65
226519,85,107,152176,211,130,1,5,0.83
1982688,76,102,7796562,14,108,1,4,0.21
159304,123,150,26431281,26,116,1,5,0.2
79503,1150,195,489133,143,243,2,9,3.46
3956606,317,118,317597,1499,167,4,6508,1.24
345792,910,679,65949970,5,91,1,7,0.73
27190880,27,109,6785040,14,109,1,4,1.21
60901873,5,80,53601184,1,128,3,10,0.94
1589421,172,91,42490044,1,95,4,12,2.53
21688080,172,154,68207325,0,100,4,8,2.35
149569,393,144,340125,67,81,3,293,0.29
7832718,112,414,11855748,12,104,1,6,3.58
9848178,43,120,345296,19,82,3,75,1.5
1362392,43,120,15568886,76,210,2,8,0.87
1242447,120,170,61980523,15,91,1,5,1.51
5556448,102,81,40965346,3,89,1,4,1.07
27760620,63,82,43521,128,125,2,8,0.9
13289832,78,92,119278,100,93,2,9,1.61
2680922,23,97,142465,214,287,3,446,1.5
2683750,13,80,1901010,36,84,4,459,0.29
51710304,46,79,1157369,92,82,2,8,0.16
3849153,49,111,2508881,98,185,3,303,2.58
1113759,5,153,1657669,56,98,2,8,0.61
9766328,3,258,239419,66,98,4,1699,1.61
923342,76,91,33303,390,269,2,10,2.29
2951556,17,81,1498040,32,94,1,4,1.45
43886266,2,83,79075,382,206,1,3,1.21
67240,930,109,9440544,116,128,4,987,0.02
4952875,20,289,735854,109,295,1,6,1.8
49022481,95,145,21224949,28,100,1,4,2.98
6895746,94,85,2827662,148,131,3,384,1.67
47297527,6,134,381991,110,104,4,909,1.54
30977,418,134,17555303,21,130,4,586,0.67
1729266,200,169,21219782,14,86,1,5,1.21
3017196,32,136,59448868,14,84,4,598,2.17
609030,65,99,40547778,48,102,3,199,1.17
53657651,31,99,378625,305,401,3,407,0.19
28906194,73,90,65234277,1,106,4,388,1.41
407137,105,106,4777262,14,84,3,70,0.23
4654784,39,101,2303959,97,81,4,855,0.47
32494466,1,112,10332277,6,121,3,37,1.32
12481427,11,147,164359,107,91,2,10,0.67
341538,36,139,1192398,41,79,4,835,0.24
138438,248,116,1734603,38,80,2,10,0.35
2563616,95,101,65130218,6,106,3,64,2.13
39664990,8,97,602031,287,382,4,1753,0.33
